Ventas del mes 2025-05
Fecha | Local | Codigo | Descripcion | Precio | Cantidad | Importe
----------------------------------------------------------------------
2025-05-15 ART003  Galletitas de avena           LOC03 | LOC03 | ART003  Galletitas de avena           LOC03 | Galletitas de avena           LOC03 | 38.78 | 538976270 | 20902239263.94
2025-05-09 ART008  Yogur natural                 LOC03 | LOC03 | ART008  Yogur natural                 LOC03 | Yogur natural                 LOC03 | 42.28 | 538976270 | 22788656208.94
2025-05-05 ART001  Cafe molido                   LOC03 | LOC03 | ART001  Cafe molido                   LOC03 | Cafe molido                   LOC03 | 45.53 | 538976272 | 24540329177.50
2025-05-24 ART007  Jugo de naranja               LOC03 | LOC03 | ART007  Jugo de naranja               LOC03 | Jugo de naranja               LOC03 | 35.90 | 538976275 | 19349249094.91
2025-05-23 ART008  Yogur natural                 LOC03 | LOC03 | ART008  Yogur natural                 LOC03 | Yogur natural                 LOC03 | 42.28 | 538976274 | 22788656378.06
2025-05-23 ART008  Yogur natural                 LOC04 | LOC04 | ART008  Yogur natural                 LOC04 | Yogur natural                 LOC04 | 42.28 | 538976264 | 22788655955.25
2025-05-12 ART002  Mermelada de frutilla         LOC04 | LOC04 | ART002  Mermelada de frutilla         LOC04 | Mermelada de frutilla         LOC04 | 60.03 | 538976262 | 32355484521.19
2025-05-16 ART010  Agua mineral                  LOC03 | LOC03 | ART010  Agua mineral                  LOC03 | Agua mineral                  LOC03 | 25.02 | 538976262 | 13482860950.59
2025-05-20 ART008  Yogur natural                 LOC01 | LOC01 | ART008  Yogur natural                 LOC01 | Yogur natural                 LOC01 | 42.28 | 538976264 | 22788655955.25
2025-05-26 ART002  Mermelada de frutilla         LOC02 | LOC02 | ART002  Mermelada de frutilla         LOC02 | Mermelada de frutilla         LOC02 | 60.03 | 538976275 | 32355485301.60
2025-05-21 ART009  Te verde                      LOC02 | LOC02 | ART009  Te verde                      LOC02 | Te verde                      LOC02 | 40.05 | 538976266 | 21585999042.09
2025-05-23 ART010  Agua mineral                  LOC01 | LOC01 | ART010  Agua mineral                  LOC01 | Agua mineral                  LOC01 | 25.02 | 538976265 | 13482861025.64
2025-05-24 ART005  Pan integral                  LOC03 | LOC03 | ART005  Pan integral                  LOC03 | Pan integral                  LOC03 | 40.03 | 538976264 | 21575959361.25
2025-05-23 ART007  Jugo de naranja               LOC01 | LOC01 | ART007  Jugo de naranja               LOC01 | Jugo de naranja               LOC01 | 35.90 | 538976288 | 19349249561.61
2025-05-01 ART009  Te verde                      LOC04 | LOC04 | ART009  Te verde                      LOC04 | Te verde                      LOC04 | 40.05 | 538976266 | 21585999042.09
2025-05-25 ART009  Te verde                      LOC05 | LOC05 | ART009  Te verde                      LOC05 | Te verde                      LOC05 | 40.05 | 538976264 | 21585998961.99
2025-05-19 ART008  Yogur natural                 LOC02 | LOC02 | ART008  Yogur natural                 LOC02 | Yogur natural                 LOC02 | 42.28 | 538976271 | 22788656251.22
2025-05-14 ART010  Agua mineral                  LOC03 | LOC03 | ART010  Agua mineral                  LOC03 | Agua mineral                  LOC03 | 25.02 | 538976272 | 13482861200.75
2025-05-17 ART002  Mermelada de frutilla         LOC01 | LOC01 | ART002  Mermelada de frutilla         LOC01 | Mermelada de frutilla         LOC01 | 60.03 | 538976264 | 32355484641.25
2025-05-22 ART001  Cafe molido                   LOC03 | LOC03 | ART001  Cafe molido                   LOC03 | Cafe molido                   LOC03 | 45.53 | 538976257 | 24540328494.53
2025-05-20 ART004  Leche deslactosada            LOC05 | LOC05 | ART004  Leche deslactosada            LOC05 | Leche deslactosada            LOC05 | 52.30 | 538976261 | 28188458039.09
2025-05-10 ART009  Te verde                      LOC01 | LOC01 | ART009  Te verde                      LOC01 | Te verde                      LOC01 | 40.05 | 538976264 | 21585998961.99
2025-05-16 ART001  Cafe molido                   LOC02 | LOC02 | ART001  Cafe molido                   LOC02 | Cafe molido                   LOC02 | 45.53 | 538976260 | 24540328631.13
2025-05-01 ART008  Yogur natural                 LOC03 | LOC03 | ART008  Yogur natural                 LOC03 | Yogur natural                 LOC03 | 42.28 | 538976265 | 22788655997.53
2025-05-27 ART008  Yogur natural                 LOC04 | LOC04 | ART008  Yogur natural                 LOC04 | Yogur natural                 LOC04 | 42.28 | 538976259 | 22788655743.84
2025-05-07 ART002  Mermelada de frutilla         LOC01 | LOC01 | ART002  Mermelada de frutilla         LOC01 | Mermelada de frutilla         LOC01 | 60.03 | 538976273 | 32355485181.53
2025-05-04 ART002  Mermelada de frutilla         LOC03 | LOC03 | ART002  Mermelada de frutilla         LOC03 | Mermelada de frutilla         LOC03 | 60.03 | 538976264 | 32355484641.25
2025-05-16 ART007  Jugo de naranja               LOC04 | LOC04 | ART007  Jugo de naranja               LOC04 | Jugo de naranja               LOC04 | 35.90 | 538976270 | 19349248915.41
2025-05-21 ART002  Mermelada de frutilla         LOC02 | LOC02 | ART002  Mermelada de frutilla         LOC02 | Mermelada de frutilla         LOC02 | 60.03 | 538976268 | 32355484881.38
